#100NEWSALON;#100NEWSALON;UÑAS POSTIZAS;WWNN;WSWN;WOSN;SSNN;;CAJ;100;100;;ARTICULOS DE BELLEZA;MANOS Y PIES;UÑAS;GENERAL
#100ROYALSQUARE-NT;#100ROYALSQUARE-NT;UÑAS POSTIZAS;YPNN;WNPN;WWSN;USNN;;CAJ;0;100;;BELLEZA;ASEO PERSONAL;GENERAL;GENERAL
#100SQUARE;#100SQUARE;UÑAS POSTIZAS;YWNN;YUWN;YRSN;VSNN;;CAJ;;0;;GENERAL;GENERAL;GENERAL;GENERAL
#100TOENAIL;#100TOENAIL;UÑAS POSTIZAS;WNNN;WWNN;WSNN;SNNN;;CAJ;0;100;4541;BELLEZA;UNAS;MANICURE Y PEDICURE;GENERAL
#100XNAIL-NT;#100XNAIL-NT;UÑAS POSTIZAS;YWNN;YUWN;YRSN;VSNN;;CAJ;0;100;6402;GENERAL;GENERAL;GENERAL;GENERAL
;0;GENERAL;N;N;N;N;;UND;;;dasddddddddddddddddddddddddddddddddddddddddddddddf;GENERAL;GENERAL;GENERAL;GENERAL
;00;PINCEL PARA  UÑAS;WSNN;WOSN;VWYN;RYNN;;DOC;16.2;0;4369;GENERAL;GENERAL;GENERAL;GENERAL
000;000;PINCEL PARA UÑAS;WSNN;WOSN;VWYN;RYNN;;DOC;16CM;0;4375;GENERAL;GENERAL;GENERAL;GENERAL
001-1163;001-1163;PEGA ADORO (CU155-CU172-CU207-CU218);YUNN;YRUN;WNNN;UNNN;;UND;6 CM;1;4233-4234;BELLEZA;UNAS;MANICURE Y PEDICURE;GENERAL
001-1163-CR162;001-1163-CR162;PEGA ADORO ORIGINAL;ZWNN;ZVWN;ZUSN;YSNN;;UND;5.5;1;;GENERAL;GENERAL;GENERAL;GENERAL
001-1163-CR165;001-1163-CR165;PEGA ADORO ORIGINAL;ZYNN;ZWYN;ZVVN;YVNN;;UND;5.5;1;;GENERAL;GENERAL;GENERAL;GENERAL
001-1163-CR170;001-1163-CR170;PEGA ADORO ORIGINAL;ZVNN;ZUVN;ZSPN;YPNN;;UND;5.5;1;;GENERAL;GENERAL;GENERAL;GENERAL
;004;DIADEMA FRANCÉS;VNNN;VVNN;VPNN;PNNN;;UND;0.5;1;6796;GENERAL;GENERAL;GENERAL;GENERAL
004-003;004-003;DIADEMA CAREY FRANCES;UNNN;UUNN;SNNN;ZNNNN;;UND;0.4 cm;0;6820;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
;007;DIADEMA FRANCÉS;VRNN;UZRN;USVN;OVNN;;UND;0.8 CM;CxU;6791;CAREY FRANCES;DIADEMAS;GENERAL;GENERAL
007-003;007-003;DIADEMA CAREY FRANCES;SNNN;SSNN;RYNN;ZYNNN;;UND;0.7cm;0;6819;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
;010;DIADEMA FRANCÉS;UZNN;USZN;SZYN;ZNYNN;;UND;1;1;5412;GENERAL;GENERAL;GENERAL;GENERAL
0100;0100;PRODUCTO CON DEFECTO;ZNNNN;ZZNNN;ZYNNN;YNNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
010-003;010-003;DIADEMA CAREY FRANCES;SSNN;RYSN;ROYN;ZWYNN;;UND;1 cm;0;6814;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
010-1;010-1;PRODUCTO CON DEFECTO;ZNNN;ZZNN;ZYNN;YNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
012;012;TATTOO TEMPORAL;RYNN;ROYN;PSVN;ZVVNN;;DOC;20 x 10 cm;0;4564;ARTICULOS DE BELLEZA;TATUAJES Y STIKERS;GENERAL;GENERAL
01200;01200;PRODUCTO CON DEFECTO;ZYNNN;ZWYNN;ZVVNN;YVNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
01400;01400;PRODUCTO CON DEFECTO;ZVNNN;ZUVNN;ZSPNN;YPNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;0143;ESPEJO DE MESA CUADRADO;SNNN;SSNN;RYNN;ZYNNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
;015;DIADEMA FRANCÉS;UPNN;SWPN;SOSN;ZZSNN;;UND;1.5 Cm;CxU;6795;CAREY FRANCES;DIADEMAS;GENERAL;GENERAL
015-003;015-003;DIADEMA CAREY FRANCES;RSNN;PWSN;OZYN;ZUYNN;;UND;1.5 cm;0;6815;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
015-1;015-1;PRODUCTO CON DEFECTO;ZUNN;ZSUN;ZPNN;WNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
01600;01600;PRODUCTO CON DEFECTO;ZSNNN;ZRSNN;ZOYNN;WYNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
01800;01800;PRODUCTO CON DEFECTO;ZPNNN;ZOPNN;YZSNN;WSNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
020;020;PRODUCTO CON DEFECTO;YNNN;YYNN;YVNN;VNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
02000;02000;PRODUCTO CON DEFECTO;YNNNN;YYNNN;YVNNN;VNNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;025;DIADEMA FRANCÉS;SPNN;RVPN;PZSN;ZWSNN;;UND;2.5;1;5417;GENERAL;GENERAL;GENERAL;GENERAL
025-003;025-003;DIADEMA CAREY FRANCES;PNNN;PPNN;OSNN;ZSNNN;;UND;2.5 Cm;0;6817;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
025-1;025-1;PRODUCTO CON DEFECTO;YUNN;YRUN;WNNN;UNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
030;030;PRODUCTO CON DEFECTO;WNNN;WWNN;WSNN;SNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
035;035;PRODUCTO CON DEFECTO;WUNN;WPUN;VYNN;RNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
040;040;PRODUCTO CON DEFECTO;VNNN;VVNN;VPNN;PNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
04274;04274;DEPILADOR BOTON;ZOYNN;YZZYN;YWNVN;WPVNN;;DOC;10;0;4309;GENERAL;GENERAL;GENERAL;GENERAL
;0433;GANCHO ORQUILLA;VUNN;VOUN;UVNN;ONNN;;CAJ;100;;;GENERAL;GENERAL;GENERAL;GENERAL
05;05;PRODUCTO CON DEFECTO;UNN;UUN;SNN;ZNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
050;050;PRODUCTO CON DEFECTO;UNNN;UUNN;SNNN;ZNNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;0511;PEINILLA CARBONO;ONNN;OONN;ZNPNN;ZPNNN;;DOC;19;0;4262;GENERAL;GENERAL;GENERAL;GENERAL
0531;0531;LABIAL MATE;WWSNN;WSOSN;VNWYN;SRYNN;;CAJ;8;;4253;BELLEZA;BARBERIA Y PELUQUERIA;GENERAL;GENERAL
060;060;PRODUCTO CON DEFECTO;SNNN;SSNN;RYNN;ZYNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;0612;PEINILLA CARBONO;RYNN;ROYN;PSVN;ZVVNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
070;070;PRODUCTO CON DEFECTO;RNNN;RRNN;PVNN;ZVNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;0714;CORTAUÑAS;ZYNNN;ZWYNN;ZVVNN;YVNNN;;CAJ;24;;;GENERAL;GENERAL;GENERAL;GENERAL
080;080;PRODUCTO CON DEFECTO;PNNN;PPNN;OSNN;ZSNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
;0818;CORTAUÑAS;ZNPNN;ZZPPN;ZYOSN;YZSNN;;DOC;12;0;4395;GENERAL;GENERAL;GENERAL;GENERAL
090;090;PRODUCTO CON DEFECTO;ONNN;OONN;ZNPNN;ZPNNN;;UND;;;;GENERAL;GENERAL;GENERAL;GENERAL
10;10;DIADEMA FRANCÉS ;VWNN;VRWN;UZSN;PSNN;;UND;1 Cm;CxU;6794;BISUTERIA;PIEDRAS;PIEDRAS SEMIPRECIOSAS;SARTAS
1001;1001;CURSO CEJAS;UONNN;SVONN;RNPNN;ZZPNNN;;Und;;;;GENERAL;GENERAL;GENERAL;GENERAL
1002;1002;CURSO AUTOMAQUILLAJE;SNNNN;SSNNN;RYNNN;ZYNNNN;;Und;;;;GENERAL;GENERAL;GENERAL;GENERAL
1003B;1003B;TIJERA VOLUMEN;VUNN;VOUN;UVNN;ONNN;;UND;1;1;6442;GENERAL;GENERAL;GENERAL;GENERAL
1005L;1005L;BOLSA REGALO;ZSPNN;ZPVPN;YNZSN;WWSNN;;DOC;32x26;0;4663;EMPAQUES PARA REGALOS;BOLSAS DE REGALO;GENERAL;GENERAL
1005M;1005M;BOLSA REGALO;ZYNNN;ZWYNN;ZVVNN;YVNNN;;DOC;23x18;0;4763-4764-4765-;EMPAQUES PARA REGALOS;BOLSAS DE REGALO;GENERAL;GENERAL
1020L;1020L;PEINILLA COLA RATÓN METAL;UVNN;UOVN;SVPN;ZNPNN;;DOC;12;0;;GENERAL;GENERAL;GENERAL;GENERAL
10-3;10-3;PEINILLA PARA PIOJOS;YVNN;YSVN;YPPN;VPNN;;DOC;12;0;4275;GENERAL;GENERAL;GENERAL;GENERAL
1038D;1038D;SET MAQUILLAJE NIÑA;PNNN;PPNN;OSNN;ZSNNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
10504D2;10504D2;SET MAQUILLAJE NIÑA;PUNN;OWUN;ZNYNN;ZRNNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
106;106;DIADEMA FRANCÉS;VUNN;VOUN;UVNN;ONNN;;UND;2 CM;1;6801;GENERAL;GENERAL;GENERAL;GENERAL
;106-003;CAREY FRANCES;PNNN;PPNN;OSNN;ZSNNN;;UND;1.8 cm;0;6817;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;DIADEMAS
000000221429;1068;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;12;12;645;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
;10PS;SARTA PERLA;N;N;N;N;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
10X15;10X15;BOLSA SELLABLE CON SOLAPA X MILL;N;N;N;N;;PQT;;;;GENERAL;GENERAL;GENERAL;GENERAL
000000221672;1100;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;328;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
