#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
#100ROYALSQUARE-NT,#100ROYALSQUARE-NT,UÑAS POSTIZAS,YPNN,WZNN,WRNN,USNN,ZVNN,CAJ,0,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
#100SQUARE,#100SQUARE,UÑAS POSTIZAS,YWNN,YUNN,WNNN,VSNN,ZZUN,CAJ,,,,GENERAL,GENERAL,GENERAL,GENERAL
#100TOENAIL,#100TOENAIL,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,0,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
#100XNAIL-NT,#100XNAIL-NT,UÑAS POSTIZAS,YWNN,YUNN,WNNN,VSNN,ZZUN,CAJ,0,,6402,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
00,0,GENERAL,N,N,N,N,N,Und,,,3984,ARTICULOS DE BELLEZA,MANOS Y PIES,PINCELES,GENERAL
,00,PINCEL PARA  UÑAS,WSNN,VNNN,VRNN,RYNN,ZPNN,DOC,16.2,,4369,ARTICULOS DE BELLEZA,MANOS Y PIES,PINCELES,GENERAL
000,000,PINCEL PARA UÑAS,WSNN,VNNN,VRNN,RYNN,ZPNN,DOC,16CM,,4375,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
001-1163,001-1163,PEGA-C5141-C5124-C5142-C5136-C5252-C5121-C5136,ZVNN,ZSNN,ZONN,YPNN,RNN,UND,6 CM,,4233-4234,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
001-1163-CR162,001-1163-CR162,PEGA ADOROORIGINAL,ZWNN,ZUNN,ZRNN,YSNN,SUN,UND,5.5,,,ARTICULOS DE BELLEZA,MANOS Y PIES,PEGA ADORO ORIGINAL,GENERAL
001-1163-CR165,001-1163-CR165,PEGA ADORO ORIGINAL,ZYNN,ZVNN,ZSNN,YVNN,SNN,UND,5.5,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
001-1163-CR170,001-1163-CR170,PEGA ADORO ORIGINAL,ZVNN,ZUUN,YNNN,YPNN,RNN,UND,5.5,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
,004,DIADEMA FRANCES,WWNN,WRNN,VWNN,SSNN,ZSUN,UND,0.5,,6796,CAREY FRANCES,DIADEMAS,GENERAL,GENERAL
,007,DIADEMA FRANCES,VNNN,VUNN,UUNN,PNNN,YNNN,UND,0.8 CM,,6791,CAREY FRANCES,DIADEMAS,GENERAL,GENERAL
,010,DIADEMA FRANCES,VWNN,VPNN,USNN,PSNN,YZUN,UND,1,,5412,CAREY FRANCES,DIADEMAS,GENERAL,GENERAL
012,012,TATTOO TEMPORAL,RYNN,PVNN,OSNN,ZVVNN,WSNN,DOC,0,,4542-4543,MERCANCIA PARA TEMPORADA,GENERAL,GENERAL,GENERAL
,0143,ESPEJO DE MESA CUADRADO,SNNN,SSNN,RPNN,ZYNNN,WNNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
